物件名,価格,最寄りからの距離,間取り,建物面積
～COSMO自社直売series中央６Ｐ２～ＬＤＫ18.75帖♪のゆとりあ…,4380万円,ＪＲ埼京線「戸田公園」徒歩20分,4LDK,108.43m2
【穏やかな自然の潤い薫る戸田公園】耐震等級２取得■　住み心地・子育て支援が…,4680万円,ＪＲ埼京線「戸田公園」徒歩15分,4LDK,102.81m2（31.09坪）
京浜東北線「西川口」駅徒歩圏内。足元から温かい床暖房採用。浴室乾燥機や食洗…,4680万円,ＪＲ埼京線「戸田公園」徒歩23分,3LDK+S（納戸）,110.12m2
【当社グループ物件】川口駅歩8分の資産になる立地♪明るい全室南向き☆小学校…,6390万円,ＪＲ埼京線「戸田公園」車3.6km～3.8km,3LDK+S（納戸）,105.2m2
【当社グループ物件☆】LDK最大19帖設備充実！戸田駅11分で通勤通学楽々…,6580万円・6950万円,ＪＲ埼京線「戸田公園」徒歩14分,3LDK・3LDK+S（納戸）,103.08m2・122.13m2
【東急リバブル　川口センター】◆京浜東北・根岸線 「西川口」駅 徒歩9分　…,6680万円,ＪＲ埼京線「戸田公園」徒歩32分,4LDK,102.69m2（登記）
JR埼京線「戸田」駅徒歩13分。「住みよさランキング」で県内上位※の戸田に…,6990万円・7290万円,ＪＲ埼京線「戸田公園」徒歩27分,3LDK～5LDK,97.91m2・101.84m2
■弊社専任物件 残り2棟■蕨駅徒歩12分の好立地■モデル棟ご案内できます■…,4180万円・4380万円,ＪＲ埼京線「戸田公園」徒歩25分,3LDK・3LDK+S（納戸）,97.6m2・99.97m2（29.52坪・30.24坪）
◆お待たせしました！建物完成につき内覧可能です♪◆南道路・整形地！自然豊か…,4280万円・4380万円,ＪＲ埼京線「戸田公園」バス10分停歩1分,3LDK,94.08m2（28.45坪）
【現地見学会開催中】◆JR京浜東北線、埼京線の2路線利用可能な立地◆地震に…,4580万円～4980万円,ＪＲ埼京線「戸田公園」徒歩21分,3LDK・3LDK+S（納戸）,80.79m2～85.86m2
完成モデルのご見学可能です！！蕨駅から徒歩１２分！周辺にはスーパー・コンビ…,4680万円・5180万円,ＪＲ埼京線「戸田公園」徒歩33分,2LDK+2S（納戸）・4LDK,95.21m2・100.39m2（28.80坪・30.36坪）
こちらの新築物件ご購入で電子マネーＷＡＯＮ最大10万ポイント進呈！◎東南角…,4690万円,ＪＲ埼京線「戸田公園」徒歩33分,4LDK+S（納戸）,107.43m2（32.49坪）
【堂々完成×月々12万円台】◆本日ご見学可能◆２面角地◆全居室６帖以上◆小…,4780万円～5180万円,ＪＲ埼京線「戸田公園」徒歩22分,3LDK,80.79m2～85.86m2（24.43坪～25.97坪）
【堂々完成×月々12万円台】◆本日ご見学可能◆２面角地◆全居室６帖以上◆小…,4780万円～5180万円,ＪＲ埼京線「戸田公園」徒歩22分,3LDK,80.79m2～85.86m2（24.43坪～25.97坪）
歴史ある宿場街蕨にすむ。大型商業施設がある生活。周辺環境充実です。２階水回…,5198万円,ＪＲ埼京線「戸田公園」徒歩18分,4LDK+S（納戸）,118.8m2（35.93坪）
【05/19 暮らし方が変わる住空間...】最終2棟 「埼京線」×「京浜東…,5298万円・5498万円,ＪＲ埼京線「戸田公園」徒歩27分,3LDK+S（納戸）・4LDK+パントリー（3号...,109.72m2・111.69m2
代理販売につき仲介手数料無料！徒歩10分圏にララガーデン等買物施設充実＆川…,5580万円～5980万円,ＪＲ埼京線「戸田公園」バス16分停歩8分,3LDK+S（納戸）・4LDK,99.36m2～107.64m2（30.05坪～32.56坪）（登記）
【現地見学会開催中】◆JR西川口駅徒歩13分◆南道路に面した陽当りに恵まれ…,5590万円,ＪＲ埼京線「戸田公園」車2.6km,4LDK,112.62m2（34.06坪）
【本日内覧できます】　西川口駅、川口駅徒歩圏内♪充実した住環境♪WIC2ヵ…,5590万円,ＪＲ埼京線「戸田公園」バス14分停歩11分,4LDK,74.91m2（22.66坪）
完成モデルをご見学可能です！！２階リビングに水回り集中型の間取り！土間収納…,5698万円,ＪＲ埼京線「戸田公園」徒歩44分,3LDK+S（納戸）,125.9m2（38.08坪）、うち１階車庫13.55m2
最終1棟！当日内覧可能♪提携変動金利0.32％、0.196％諸条件あり◆ご…,5699万円,ＪＲ埼京線「戸田公園」徒歩11分,4LDK+S（納戸）,115.29m2
“モダンデザイン”JR戸田公園駅１２分”『前面公道５．２ｍ楽々車庫入れ・対…,5699万円,ＪＲ埼京線「戸田公園」徒歩12分,3LDK+2S（納戸）,115.29m2（34.87坪）
～5/12 最終1邸～「即日見学可、土日祝 現地販売会実施」◇『5部屋＋L…,5699万円,ＪＲ埼京線「戸田公園」徒歩12分,3LDK+2S（納戸）,115.29m2（34.87坪）
☆ついに内覧可能！■南東角地で陽当り良好！■デザイナーズ邸宅■life p…,5799万円,ＪＲ埼京線「戸田公園」徒歩19分,4LDK,104.47m2（実測）
【完成済みにつき、棟内内覧可能です】JR戸田公園徒歩19分・東南角地につき…,5799万円,ＪＲ埼京線「戸田公園」徒歩19分,4LDK,104.47m2
◆◇期間限定特典ご案内中◇◆～西川口駅　徒歩14分～■3LDK新築住宅誕生…,3090万円,ＪＲ埼京線「戸田公園」徒歩23分,3LDK,61.41m2（18.57坪）（実測）
■残り１棟！！■子育て環境にはぴったりな落ち着いた雰囲気の閑静な住宅地■地…,4190万円,ＪＲ埼京線「戸田公園」バス15分停歩3分,3LDK,83.42m2（25.23坪）
◆浴室は冬場のヒートショック対策にも効果的な換気暖房乾燥機付きです◆システ…,4880万円,ＪＲ埼京線「戸田公園」徒歩23分,3LDK,83.82m2（登記）
《掲載写真最新》《金利0.219%プラン適用可能》《資料のみOK》《ノート…,4980万円,ＪＲ埼京線「戸田公園」徒歩25分,4LDK,114.26m2
【現地販売会社】土日現地内覧会実施！!◆【仲介手数料無料】◆ララガーデン徒…,4990万円・5490万円,ＪＲ埼京線「戸田公園」徒歩32分,3LDK+S（納戸）,91.92m2～110.15m2
